"id","versjon","navn"
"A","1.0","Arbeiderpartiet"
"ALP","1.0","Anders Langes Parti"
"B","1.0","Bondepartiet"
"DNF","1.0","Det Nye Folkepartiet"
"FFF","1.0","Framtid for Finnmark"
"FrP","1.0","Fremskrittspartiet"
"H","1.0","Høyre"
"Kp","1.0","Kystpartiet"
"KrF","1.0","Kristelig Folkeparti"
"NKP","1.0","Norges Kommunistiske Parti"
"RV","1.0","Rød Valgallianse"
"SF","1.0","Sosialistisk Folkeparti"
"Sp","1.0","Senterpartiet"
"SV","1.0","Sosialistisk Venstreparti"
"SVf","1.0","Sosialistisk Valgforbund"
"TF","1.0","Tverrpolitisk Folkevalgte (Kystpartiet)"
"Uav","1.0","Uavhengig representant"
"V","1.0","Venstre"
