id,saker_id,"personer_id"
16868,13,"RHR"
16746,14,"REK"
16866,15,"ASK"
16747,16,"REK"
16841,17,"POL"
16842,18,"AHO"
16822,19,"KL"
16778,20,"LS"
16768,21,"KNA"
16657,22,"EIS"
16804,23,"AAS"
16744,24,"ML"
16821,26,"OTK"
16745,27,"ROG"
16775,30,"AST"
16767,31,"LGL"
16805,32,"DJF"
16777,33,"KE"
16820,34,"MAA"
16776,35,"KE"
16229,36,"MAS"
16233,37,"GGF"
16164,38,"KMB"
16217,39,"ULG"
16216,40,"VSH"
16152,41,"POL"
16163,42,"JP"
16168,43,"JTS"
16200,44,"RJ"
16166,45,"REK"
16224,46,"DGH"
16169,47,"TRM"
16873,49,"OR"
16879,50,"PC"
16872,51,"OR"
16863,52,"TON"
16859,53,"KHA"
16862,54,"SFS"
16844,55,"DW"
16845,56,"JL"
16846,57,"SB"
16847,58,"BHG"
16848,59,"RUI"
16849,60,"AHU"
16836,61,"ESO"
16828,64,"RTV"
16843,65,"HJR"
16826,66,"UAA"
16827,67,"RQH"
16840,68,"JL"
16819,69,"HBL"
16860,70,"EAM"
16802,71,"ARL"
16829,72,"MIB"
16830,73,"KL"
16861,75,"RQH"
16851,76,"KNA"
16817,77,"TRJ"
16818,78,"KKF"
16228,79,"JMN"
16876,80,"TON"
16808,95,"BJO"
16155,96,"IGO"
16206,97,"HE"
16180,98,"ON"
16223,99,"TN"
16183,100,"LIH"
16221,101,"RBJ"
16867,102,"TN"
16835,103,"TON"
16825,105,"KNA"
16865,106,"ANH"
16831,107,"RB"
16807,108,"BJO"
16832,109,"AUB"
15445,110,"AHI"
16212,111,"ACS"
16162,112,"AG"
16238,113,"EIS"
16156,114,"AD"
16192,115,"OA"
16222,116,"GBR"
16181,117,"EAM"
16197,118,"ROG"
16198,119,"TAL"
16172,120,"SHS"
16199,121,"EVL"
16232,122,"GRF"
16182,123,"AHI"
16237,124,"BJO"
16230,125,"JEG"
16214,126,"IK"
16189,127,"AHO"
16184,128,"JD"
16150,129,"GHA"
16188,130,"GRF"
16185,131,"TON"
16186,132,"OHE"
16187,133,"JS"
16215,134,"IK"
16208,135,"MMK"
16209,136,"ES"
16210,137,"ES"
16864,138,"TON"
16871,139,"ST"
16852,140,"DGH"
16856,141,"VB"
16857,142,"SEN"
16673,143,"SHS"
16735,144,"ODG"
16774,145,"AG"
16803,146,"BR"
16837,147,"POL"
16838,148,"EIS"
16839,150,"HBL"
16850,151,"VBR"
16834,152,"PAN"
15789,153,"ERF"
16173,154,"JPS"
16226,155,"CIH"
16165,156,"MTI"
16780,158,"OA"
16234,159,"GGF"
16213,160,"KTF"
16176,161,"GF"
16174,162,"JPS"
16194,163,"AAS"
16175,164,"VB"
16207,165,"GKG"
16190,166,"SHS"
16225,167,"ODH"
16191,168,"GRF"
16235,169,"GR"
16236,170,"GR"
16195,171,"TAL"
16211,172,"PC"
16177,173,"AUG"
16151,174,"RUI"
16196,175,"ILH"
16219,176,"TN"
16202,177,"LLU"
16178,178,"HFJ"
16147,179,"PT"
16218,180,"DW"
16203,181,"ML"
16204,182,"ESF"
16170,183,"HBL"
16220,184,"TS"
16239,185,"KHA"
16205,186,"SIO"
16227,187,"ORE"
16201,188,"AD"
16171,190,"JOH"
16179,191,"KAHE"
16160,192,"GUNM"
16158,193,"TNY"
16167,194,"ACS"
16157,195,"TNY"
16159,197,"JR"
16148,198,"PT"
16858,199,"TRJ"
16731,201,"RB"
16754,202,"RTV"
16764,203,"DJF"
16781,205,"CIH"
16782,205,"DJF"
16783,205,"EGR"
16784,205,"GS"
16785,205,"JPS"
16786,205,"KDL"
16787,205,"MTI"
16788,205,"PT"
16789,205,"RBJ"
16790,205,"SJ"
16791,205,"SOH"
16806,206,"CIH"
16809,210,"AUG"
16766,211,"HBE"
16853,212,"ASK"
16765,213,"GR"
16823,214,"TON"
16753,215,"AST"
16193,217,"OA"
16816,218,"LGL"
16752,220,"JS"
16833,221,"JEG"
16623,226,"RBJ"
16560,227,"RNW"
16824,228,"RQH"
16810,232,"BJO"
16854,233,"GRF"
16855,234,"AMN"
16877,235,"BJO"
16878,236,"BJO"
16811,242,"JJJ"
16779,243,"RUI"
16792,259,"CIH"
16793,259,"DJF"
16794,259,"GS"
16795,259,"KDL"
16796,259,"MTI"
16797,259,"PT"
16798,259,"RBJ"
16799,259,"SJ"
16800,259,"SOH"
16592,260,"MBL"
16622,261,"PT"
16698,263,"KNA"
16763,264,"POL"
16699,267,"OTK"
16815,268,"FFG"
16773,272,"GUNM"
16751,273,"AAS"
16624,274,"PT"
16812,282,"BJO"
16813,283,"BJO"
16771,284,"LLU"
16755,285,"MIB"
16672,286,"JR"
16748,287,"RBJ"
16759,288,"SFS"
16760,289,"SHL"
16769,290,"RB"
16761,291,"CIH"
16762,292,"MTI"
16814,294,"BJO"
16705,327,"ESO"
16729,328,"MHG"
16231,370,"BJO"
16875,371,"DJF"
16874,372,"TTH"
16669,456,"AHI"
16161,458,"KTF"
16651,473,"DJF"
16770,480,"EVL"
16801,487,"TON"
16703,488,"ESO"
16736,489,"JIA"
16750,491,"LIH"
16772,492,"AG"
16758,520,"JL"
16869,521,"OTK"
16870,522,"OTK"
16704,526,"GRF"
16674,551,"PT"
16734,552,"SEB"
15787,553,"ODG"
15788,555,"ODG"
16153,556,"ODG"
16632,577,"GGF"
16663,579,"ESO"
16633,580,"GGF"
16662,582,"KL"
16599,583,"KNA"
