id,sporsmal_id,emne_id
72657,1870,5
72658,1870,205
72653,1871,2
72654,1871,106
72655,1871,107
72656,1871,109
72651,1872,5
72652,1872,205
72650,1874,163
101818,1875,32
101819,1875,61
101820,1875,64
101821,1875,159
72644,1880,2
72645,1880,106
72646,1880,189
72640,1882,5
72641,1882,7
72642,1882,10
72643,1882,211
72635,1884,32
72636,1884,113
72637,1884,159
72638,1884,184
72639,1884,220
72632,1888,21
72633,1888,61
72634,1888,139
72628,1894,38
72629,1894,136
72630,1894,138
72631,1894,184
72647,1896,113
72648,1896,115
72649,1896,223
72626,1897,11
72627,1897,141
72623,1903,4
72624,1903,71
72625,1903,73
72619,1904,113
72620,1904,114
72621,1904,115
72622,1904,223
72614,1906,1
72615,1906,31
72616,1906,32
72617,1906,105
72618,1906,183
72610,1907,32
72611,1907,45
72612,1907,159
72613,1907,160
72607,1908,61
72608,1908,62
72609,1908,63
72604,1909,2
72605,1909,106
72606,1909,189
72603,1910,59
72600,1911,31
72601,1911,32
72602,1911,33
72598,1912,11
72599,1912,141
72595,1914,2
72596,1914,106
72597,1914,107
72592,1915,2
72593,1915,106
72594,1915,107
72589,1916,31
72590,1916,32
72591,1916,34
72586,1917,2
72587,1917,106
72588,1917,189
72582,1918,1
72583,1918,5
72584,1918,94
72585,1918,105
72576,1919,5
72577,1919,61
72578,1919,112
72579,1919,113
72580,1919,188
72581,1919,205
101814,1923,18
101815,1923,24
101816,1923,40
101817,1923,184
72575,1924,45
72570,1925,151
72571,1925,163
72572,1925,167
72573,1925,182
72574,1925,200
72568,1927,18
72569,1927,184
72563,1928,22
72564,1928,51
72565,1928,155
72566,1928,163
72567,1928,173
72557,1929,10
72558,1929,11
72559,1929,18
72560,1929,141
72561,1929,184
72562,1929,211
72553,1931,2
72554,1931,106
72555,1931,111
72556,1931,189
72550,1938,2
72551,1938,106
72552,1938,109
72510,1940,18
72511,1940,184
72504,1947,2
72505,1947,3
72506,1947,5
72507,1947,7
72508,1947,184
72509,1947,220
72502,1952,10
72503,1952,186
72499,1953,40
72500,1953,61
72501,1953,65
72494,1955,23
72495,1955,46
72496,1955,129
72497,1955,132
72498,1955,139
72491,1956,10
72492,1956,40
72493,1956,48
72486,1957,2
72487,1957,106
72488,1957,155
72489,1957,157
72490,1957,189
72484,1958,24
72485,1958,40
72481,1960,10
72482,1960,40
72483,1960,186
72478,1961,10
72479,1961,40
72480,1961,186
72476,1963,6
72477,1963,142
72470,1964,22
72471,1964,59
72472,1964,60
72473,1964,93
72474,1964,163
72475,1964,168
72468,1965,10
72469,1965,211
72467,1966,40
72463,1969,40
72464,1969,41
72465,1969,42
72466,1969,43
72460,1970,61
72461,1970,62
72462,1970,63
72457,1971,50
72458,1971,61
72459,1971,187
72450,1972,2
72451,1972,4
72452,1972,74
72453,1972,113
72454,1972,119
72455,1972,178
72456,1972,179
72445,1973,2
72446,1973,49
72447,1973,61
72448,1973,106
72449,1973,107
72443,1974,155
72444,1974,184
72438,1975,2
72439,1975,21
72440,1975,106
72441,1975,139
72442,1975,189
72430,1979,2
72431,1979,4
72432,1979,5
72433,1979,74
72434,1979,106
72435,1979,109
72436,1979,190
72437,1979,205
72428,1980,155
72429,1980,184
72424,1981,11
72425,1981,17
72426,1981,98
72427,1981,113
72422,1982,2
72423,1982,179
72419,1997,5
72420,1997,94
72421,1997,205
72414,1998,5
72415,1998,32
72416,1998,94
72417,1998,95
72418,1998,212
101810,2012,21
101811,2012,22
101812,2012,139
101813,2012,163
72401,2015,2
72402,2015,21
72403,2015,47
72404,2015,80
72405,2015,106
72406,2015,139
72407,2015,187
72408,2015,189
72409,2015,191
72398,2016,22
72399,2016,163
72400,2016,168
72373,2021,52
72374,2021,184
72366,2037,10
72367,2037,38
72368,2037,48
72369,2037,136
72370,2037,138
72371,2037,184
72372,2037,186
72363,2039,114
72364,2039,184
72365,2039,220
72359,2040,51
72360,2040,155
72361,2040,184
72362,2040,220
72354,2041,5
72355,2041,7
72356,2041,155
72357,2041,184
72358,2041,220
72351,2042,52
72352,2042,135
72353,2042,184
72346,2043,32
72347,2043,155
72348,2043,157
72349,2043,159
72350,2043,160
72344,2048,151
72345,2048,203
72340,2049,61
72341,2049,62
72342,2049,63
72343,2049,66
72337,2093,11
72338,2093,49
72339,2093,61
72334,2094,11
72335,2094,141
72336,2094,181
72329,2095,5
72330,2095,7
72331,2095,46
72332,2095,69
72333,2095,94
72546,2097,21
72547,2097,22
72548,2097,139
72549,2097,163
72544,2101,83
72545,2101,187
72541,2102,22
72542,2102,163
72543,2102,173
72328,2103,139
72538,2104,25
72539,2104,151
72540,2104,203
72534,2105,21
72535,2105,22
72536,2105,139
72537,2105,163
72532,2106,1
72533,2106,105
72529,2107,2
72530,2107,106
72531,2107,107
72523,2108,23
72524,2108,39
72525,2108,46
72526,2108,128
72527,2108,139
72528,2108,184
72518,2109,2
72519,2109,23
72520,2109,106
72521,2109,107
72522,2109,139
72512,2110,2
72513,2110,5
72514,2110,7
72515,2110,179
72516,2110,184
72517,2110,220
72410,2111,52
72411,2111,155
72412,2111,157
72413,2111,184
72324,2112,2
72325,2112,106
72326,2112,111
72327,2112,189
72318,2113,4
72319,2113,21
72320,2113,74
72321,2113,75
72322,2113,139
72323,2113,190
72314,2114,61
72315,2114,62
72316,2114,63
72317,2114,66
72312,2115,61
72313,2115,66
72306,2116,11
72307,2116,15
72308,2116,52
72309,2116,143
72310,2116,146
72311,2116,184
72304,2117,31
72305,2117,32
72301,2119,163
72302,2119,167
72303,2119,200
72296,2120,11
72297,2120,15
72298,2120,61
72299,2120,62
72300,2120,63
72293,2122,10
72294,2122,61
72295,2122,186
72290,2123,10
72291,2123,61
72292,2123,186
72288,2124,10
72289,2124,186
72285,2125,40
72286,2125,41
72287,2125,42
72283,2126,10
72284,2126,211
72277,2127,2
72278,2127,11
72279,2127,17
72280,2127,47
72281,2127,106
72282,2127,189
72274,2129,4
72275,2129,71
72276,2129,73
72272,2130,143
72273,2130,145
72268,2131,31
72269,2131,32
72270,2131,36
72271,2131,158
72266,2132,21
72267,2132,139
72264,2133,4
72265,2133,71
72262,2134,6
72263,2134,121
72257,2135,10
72258,2135,11
72259,2135,16
72260,2135,19
72261,2135,211
72253,2136,6
72254,2136,70
72255,2136,122
72256,2136,126
72249,2147,4
72250,2147,71
72251,2147,73
72252,2147,113
72245,2150,10
72246,2150,11
72247,2150,141
72248,2150,211
72239,2151,53
72240,2151,57
72241,2151,58
72242,2151,61
72243,2151,64
72244,2151,187
72237,2155,59
72238,2155,193
72193,2161,4
72194,2161,136
72195,2161,184
72188,2162,4
72189,2162,136
72190,2162,155
72191,2162,157
72192,2162,184
101808,2164,10
101809,2164,186
72185,2165,61
72186,2165,83
72187,2165,187
72183,2166,61
72184,2166,66
72181,2169,4
72182,2169,71
72170,2187,21
72171,2187,139
72164,2188,2
72165,2188,21
72166,2188,47
72167,2188,106
72168,2188,139
72169,2188,189
72162,2191,10
72163,2191,186
72176,2192,31
72177,2192,32
72178,2192,49
72179,2192,61
72180,2192,158
72172,2193,2
72173,2193,47
72174,2193,106
72175,2193,189
72156,2196,5
72157,2196,7
72158,2196,8
72159,2196,18
72160,2196,91
72161,2196,184
72152,2201,10
72153,2201,61
72154,2201,66
72155,2201,186
72148,2203,49
72149,2203,61
72150,2203,112
72151,2203,113
72143,2204,32
72144,2204,155
72145,2204,157
72146,2204,159
72147,2204,160
72395,2205,40
72396,2205,41
72397,2205,42
72390,2206,58
72391,2206,113
72392,2206,114
72393,2206,187
72394,2206,192
72389,2207,40
72386,2208,4
72387,2208,74
72388,2208,190
72384,2209,40
72385,2209,41
72381,2213,31
72382,2213,32
72383,2213,183
72379,2214,2
72380,2214,179
72378,2217,113
72375,2219,4
72376,2219,74
72377,2219,190
72138,2223,38
72139,2223,83
72140,2223,136
72141,2223,184
72142,2223,187
72136,2224,61
72137,2224,66
101805,2228,52
101806,2228,135
101807,2228,184
72133,2232,10
72134,2232,148
72135,2232,186
72130,2233,163
72131,2233,167
72132,2233,200
72123,2234,5
72124,2234,11
72125,2234,94
72126,2234,141
72127,2234,163
72128,2234,167
72129,2234,200
72121,2235,23
72122,2235,139
72114,2236,6
72115,2236,8
72116,2236,70
72117,2236,122
72118,2236,126
72119,2236,143
72120,2236,146
72113,2243,113
72106,2244,18
72107,2244,31
72108,2244,32
72109,2244,33
72110,2244,105
72111,2244,183
72112,2244,184
72104,2249,6
72105,2249,68
72232,2250,1
72233,2250,25
72234,2250,40
72235,2250,105
72236,2250,151
72224,2255,20
72225,2255,46
72226,2255,69
72227,2255,80
72228,2255,82
72229,2255,99
72230,2255,113
72231,2255,187
72221,2256,52
72222,2256,135
72223,2256,184
72216,2257,10
72217,2257,61
72218,2257,62
72219,2257,63
72220,2257,186
72212,2260,151
72213,2260,154
72214,2260,185
72215,2260,187
72208,2261,4
72209,2261,23
72210,2261,71
72211,2261,139
72103,2262,143
72102,2263,143
72205,2264,83
72206,2264,184
72207,2264,187
72202,2265,58
72203,2265,139
72204,2265,187
72200,2266,21
72201,2266,139
72196,2267,5
72197,2267,46
72198,2267,94
72199,2267,95
72097,2268,32
72098,2268,49
72099,2268,61
72100,2268,159
72101,2268,160
72093,2270,5
72094,2270,94
72095,2270,113
72096,2270,114
72087,2271,10
72088,2271,52
72089,2271,112
72090,2271,113
72091,2271,184
72092,2271,211
72082,2272,2
72083,2272,83
72084,2272,106
72085,2272,109
72086,2272,187
72076,2277,18
72077,2277,32
72078,2277,49
72079,2277,61
72080,2277,184
72081,2277,212
72074,2279,8
72075,2279,92
72071,2280,57
72072,2280,58
72073,2280,187
72069,2283,11
72070,2283,141
72064,2286,2
72065,2286,47
72066,2286,106
72067,2286,179
72068,2286,189
72060,2287,2
72061,2287,106
72062,2287,111
72063,2287,189
72058,2288,10
72059,2288,186
72053,2289,31
72054,2289,32
72055,2289,49
72056,2289,61
72057,2289,158
72048,2290,6
72049,2290,59
72050,2290,121
72051,2290,155
72052,2290,157
72044,2291,22
72045,2291,45
72046,2291,163
72047,2291,173
72039,2292,2
72040,2292,106
72041,2292,136
72042,2292,184
72043,2292,189
72035,2293,20
72036,2293,45
72037,2293,99
72038,2293,113
72034,2294,32
72031,2295,31
72032,2295,32
72033,2295,158
72027,2296,11
72028,2296,18
72029,2296,141
72030,2296,184
72023,2297,23
72024,2297,46
72025,2297,129
72026,2297,139
72020,2298,53
72021,2298,58
72022,2298,187
72019,2299,61
72015,2301,5
72016,2301,7
72017,2301,61
72018,2301,64
72011,2308,8
72012,2308,10
72013,2308,91
72014,2308,186
72008,2309,32
72009,2309,36
72010,2309,212
72002,2311,20
72003,2311,97
72004,2311,113
72005,2311,136
72006,2311,139
72007,2311,184
71999,2312,52
72000,2312,135
72001,2312,184
71992,2313,6
71993,2313,8
71994,2313,70
71995,2313,122
71996,2313,126
71997,2313,143
71998,2313,146
71989,2315,2
71990,2315,106
71991,2315,189
71982,2317,2
71983,2317,22
71984,2317,59
71985,2317,163
71986,2317,177
71987,2317,179
71988,2317,193
71979,2318,2
71980,2318,106
71981,2318,179
101803,2325,6
101804,2325,142
101799,2331,31
101800,2331,32
101801,2331,105
101802,2331,183
101794,2332,10
101795,2332,11
101796,2332,16
101797,2332,19
101798,2332,211
101792,2343,5
101793,2343,7
101789,2345,10
101790,2345,61
101791,2345,186
71935,2346,11
71936,2346,141
71932,2348,61
71933,2348,64
71934,2348,65
101780,2351,5
101781,2351,7
101782,2351,20
101783,2351,80
101784,2351,83
101785,2351,97
101786,2351,113
101787,2351,187
101788,2351,191
71930,2355,11
71931,2355,141
71926,2356,11
71927,2356,14
71928,2356,16
71929,2356,19
71923,2357,61
71924,2357,64
71925,2357,188
71920,2359,40
71921,2359,59
71922,2359,193
71902,2364,10
71903,2364,186
71897,2365,5
71898,2365,58
71899,2365,94
71900,2365,95
71901,2365,187
71915,2366,38
71916,2366,83
71917,2366,136
71918,2366,184
71919,2366,187
71892,2368,2
71893,2368,83
71894,2368,106
71895,2368,109
71896,2368,187
71888,2370,6
71889,2370,70
71890,2370,122
71891,2370,127
71886,2371,11
71887,2371,141
71879,2373,37
71880,2373,61
71881,2373,62
71882,2373,63
71883,2373,66
71884,2373,134
71885,2373,184
71873,2377,58
71874,2377,187
71866,2378,22
71867,2378,59
71868,2378,60
71869,2378,163
71870,2378,166
71871,2378,177
71872,2378,200
71861,2380,11
71862,2380,17
71863,2380,22
71864,2380,163
71865,2380,173
71858,2382,31
71859,2382,32
71860,2382,158
71852,2383,2
71853,2383,21
71854,2383,47
71855,2383,106
71856,2383,139
71857,2383,189
101776,2386,11
101777,2386,12
101778,2386,14
101779,2386,141
71845,2396,37
71846,2396,184
71839,2398,6
71840,2398,49
71841,2398,61
71842,2398,70
71843,2398,122
71844,2398,126
71834,2399,32
71835,2399,36
71836,2399,40
71837,2399,41
71838,2399,42
71908,2400,113
71909,2400,115
71910,2400,119
71911,2400,163
71912,2400,167
71913,2400,200
71914,2400,223
71904,2401,113
71905,2401,115
71906,2401,119
71907,2401,223
71875,2402,113
71876,2402,115
71877,2402,119
71878,2402,223
71847,2403,21
71848,2403,22
71849,2403,139
71850,2403,163
71851,2403,171
71832,2404,52
71833,2404,184
71828,2405,22
71829,2405,59
71830,2405,163
71831,2405,177
71789,2410,23
71790,2410,46
71791,2410,129
71792,2410,139
71787,2412,10
71788,2412,211
71782,2415,31
71783,2415,32
71784,2415,52
71785,2415,135
71786,2415,184
71778,2416,50
71779,2416,87
71780,2416,187
71781,2416,192
71775,2417,2
71776,2417,106
71777,2417,189
71771,2418,5
71772,2418,6
71773,2418,68
71774,2418,94
71769,2420,45
71770,2420,61
71764,2421,5
71765,2421,11
71766,2421,15
71767,2421,59
71768,2421,94
71762,2422,23
71763,2422,139
71759,2423,31
71760,2423,32
71761,2423,158
71756,2428,31
71757,2428,32
71758,2428,158
71754,2429,18
71755,2429,184
71752,2430,31
71753,2430,32
71748,2431,5
71749,2431,7
71750,2431,61
71751,2431,64
71745,2432,11
71746,2432,16
71747,2432,19
71743,2433,10
71744,2433,211
71737,2434,10
71738,2434,18
71739,2434,49
71740,2434,61
71741,2434,184
71742,2434,186
71733,2436,53
71734,2436,54
71735,2436,58
71736,2436,187
71731,2440,5
71732,2440,94
71727,2442,11
71728,2442,12
71729,2442,16
71730,2442,19
71722,2448,6
71723,2448,32
71724,2448,35
71725,2448,121
71726,2448,159
71721,2449,61
71716,2451,59
71717,2451,163
71718,2451,175
71719,2451,176
71720,2451,193
71713,2453,5
71714,2453,7
71715,2453,113
71710,2455,32
71711,2455,35
71712,2455,159
71704,2456,10
71705,2456,11
71706,2456,16
71707,2456,19
71708,2456,61
71709,2456,211
71701,2457,58
71702,2457,80
71703,2457,187
71671,2458,32
71672,2458,159
71673,2458,160
71668,2459,31
71669,2459,32
71670,2459,183
71665,2464,31
71666,2464,32
71667,2464,183
71661,2467,61
71662,2467,62
