sak_id,"versjon",alternativ_votering_id,antall_for,antall_ikke_tilstede,antall_mot,behandlingsrekkefoelge,dagsorden_sak_nummer,"fri_votering","kommentar",mote_kart_nummer,"personlig_votering","presidentid","vedtatt",votering_id,"votering_metode","votering_resultat_type","votering_resultat_type_tekst","votering_tema","votering_tid"
51207,"1.0",-1,6,66,97,1,1,"false","",3,"true","DTA","false",1461,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 1 på vegne av V.","2011-10-05 00:41:53"
51207,"1.0",-1,25,65,79,1,1,"false","",3,"true","DTA","false",1462,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 2 på vegne av V.","2011-10-05 00:42:15"
51207,"1.0",-1,24,65,80,1,1,"false","",3,"true","DTA","false",1463,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 3 - 6 og 8 på vegne av FrP.","2011-10-05 00:42:37"
51207,"1.0",-1,49,65,55,1,1,"false","",3,"true","DTA","false",1464,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 7 på vegne av FrP.","2011-10-05 00:43:02"
51207,"1.0",-1,49,65,55,1,1,"false","",3,"true","DTA","false",1465,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 9 og 11 på vegne av KrF.","2011-10-05 00:43:28"
51207,"1.0",-1,30,66,73,1,1,"false","",3,"true","DTA","false",1466,"ikke_spesifisert","ikke_spesifisert","","Forslag nr. 10 på vegne av KrF.","2011-10-05 00:43:51"
51207,"1.0",-1,-1,-1,-1,1,1,"true","",3,"false","DTA","true",1467,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Trontalen og beretningen om rikets tilstand","2011-10-05 00:44:09"
51239,"1.0",-1,-1,-1,-1,1,1,"false","",5,"false","DTA","true",1468,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Romertall I og II.","2011-10-11 11:40:35"
51503,"1.0",-1,-1,-1,-1,1,1,"false","",6,"false","DTA","true",1469,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Stor bokstav A, B, C og D.","2011-10-12 10:05:32"
51581,"1.0",-1,-1,-1,-1,1,1,"false","",11,"false","DTA","true",1470,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Det voteres over innstillingen.","2011-10-27 10:03:09"
51250,"1.0",-1,-1,-1,-1,1,3,"false","",11,"false","DH","true",1471,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","romertallene I og II.","2011-10-27 15:38:43"
51719,"1.0",-1,-1,-1,-1,1,1,"false","",13,"false","AC","true",1472,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Innstillingens tilråding","2011-11-10 19:08:58"
51216,"1.0",-1,-1,-1,-1,1,3,"false","",13,"false","AC","true",1474,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Komiteens tilråding","2011-11-10 19:09:20"
50829,"1.0",-1,-1,-1,-1,1,4,"false","",13,"false","AC","true",1475,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Komiteens tilråding","2011-11-10 19:09:40"
50829,"1.0",-1,-1,-1,-1,1,4,"false","",13,"false","AC","true",1476,"ikke_spesifisert","enstemmig_vedtatt","Enstemmig vedtatt","Lovens overskrift og loven i sin helhet.","2011-11-10 19:09:51"
