id,"person_id","fylke_id","materiale",prosentlikhet
1,"ADA","AA","643 avstemninger siste der André Oktay Dahl deltok",74.34
2,"ADA","VA","643 avstemninger siste der André Oktay Dahl deltok",55.05
3,"ADA","Te","643 avstemninger siste der André Oktay Dahl deltok",55.05
4,"ADA","Ve","643 avstemninger siste der André Oktay Dahl deltok",47.90
5,"ADA","No","643 avstemninger siste der André Oktay Dahl deltok",48.37
6,"ADA","Os","643 avstemninger siste der André Oktay Dahl deltok",55.99
7,"ADA","Ak","643 avstemninger siste der André Oktay Dahl deltok",80.09
8,"ADA","Tr","643 avstemninger siste der André Oktay Dahl deltok",52.41
9,"ADA","SF","643 avstemninger siste der André Oktay Dahl deltok",49.30
10,"ADA","ST","643 avstemninger siste der André Oktay Dahl deltok",46.81
11,"ADA","Bu","643 avstemninger siste der André Oktay Dahl deltok",55.05
12,"ADA","Ho","643 avstemninger siste der André Oktay Dahl deltok",62.36
13,"ADA","MR","643 avstemninger siste der André Oktay Dahl deltok",51.01
14,"ADA","Øs","643 avstemninger siste der André Oktay Dahl deltok",53.03
15,"ADA","Op","643 avstemninger siste der André Oktay Dahl deltok",47.43
16,"ADA","Ro","643 avstemninger siste der André Oktay Dahl deltok",75.74
17,"ADA","NT","643 avstemninger siste der André Oktay Dahl deltok",46.50
18,"ADA","Fi","643 avstemninger siste der André Oktay Dahl deltok",53.97
19,"ADA","He","643 avstemninger siste der André Oktay Dahl deltok",46.97
20,"AESO","AA","732 avstemninger siste der Arne Sortevik deltok",53.14
21,"AESO","VA","732 avstemninger siste der Arne Sortevik deltok",38.66
22,"AESO","Øs","732 avstemninger siste der Arne Sortevik deltok",37.98
23,"AESO","Ve","732 avstemninger siste der Arne Sortevik deltok",25.68
24,"AESO","No","732 avstemninger siste der Arne Sortevik deltok",24.86
25,"AESO","Os","732 avstemninger siste der Arne Sortevik deltok",30.05
26,"AESO","Ak","732 avstemninger siste der Arne Sortevik deltok",52.60
27,"AESO","Ro","732 avstemninger siste der Arne Sortevik deltok",51.50
28,"AESO","Tr","732 avstemninger siste der Arne Sortevik deltok",28.01
29,"AESO","ST","732 avstemninger siste der Arne Sortevik deltok",22.81
30,"AESO","Bu","732 avstemninger siste der Arne Sortevik deltok",35.38
31,"AESO","Ho","732 avstemninger siste der Arne Sortevik deltok",43.85
32,"AESO","MR","732 avstemninger siste der Arne Sortevik deltok",34.70
33,"AESO","Fi","732 avstemninger siste der Arne Sortevik deltok",33.06
