"id","versjon","navn"
"ADMKOM","1.0","Administrasjonskomiteen"
"ARBKOM","1.0","Arbeidsordningskomiteen"
"ARBSOS","1.0","Arbeids- og sosialkomiteen"
"DUTENKON","1.0","Den utvidede utenriks- og konstitusjonskomité"
"DUTENR","1.0","Den utvidede utenrikskomité"
"ENERGI","1.0","Energi- og miljøkomiteen"
"ENRGIND","1.0","Energi- og industrikomiteen"
"FAKUAD","1.0","Familie-, kultur- og administrasjonskomiteen"
"FAMKULT","1.0","Familie- og kulturkomiteen"
"FINANS","1.0","Finanskomiteen"
"FINATOLL","1.0","Finans- og tollkomiteen"
"FORBADM","1.0","Forbruker- og administrasjonskomiteen"
"FORFULL","1.0","Den forberedende fullmaktskomité"
"FORSVAR","1.0","Forsvarskomiteen"
"FULLMAKT","1.0","Fullmaktskomiteen"
"HELSEKOM","1.0","Helsekomiteen"
"HELSEOMS","1.0","Helse- og omsorgskomiteen"
"INDUSTRI","1.0","Industrikomiteen"
"JUSTIS","1.0","Justiskomiteen"
"KIRKE","1.0","Kirke-, utdannings- og forskningskomiteen"
"KIRKESKO","1.0","Kirke- og skolekomiteen"
"KIRKUND","1.0","Kirke- og undervisningskomiteen"
"KOMMFORV","1.0","Kommunal- og forvaltningskomiteen"
"KOMMILJO","1.0","Kommunal- og miljøvernkomiteen"
"KOMMUNAL","1.0","Kommunalkomiteen"
"KONTR","1.0","Kontrollkomiteen"
"KONTROLL","1.0","Kontroll- og konstitusjonskomiteen"
"LANDBRUK","1.0","Landbrukskomiteen"
"MILKOM","1.0","Militærkomiteen"
"NÆRING","1.0","Næringskomiteen"
"POSTELKY","1.0","Post-, telegraf- og kystfartskomiteen"
"PRES","1.0","Stortingets presidentskap"
"PROTKOM","1.0","Protokollkomiteen"
"SAMFERD","1.0","Samferdselskomiteen"
"SJOFFISK","1.0","Sjøfarts- og fiskerikomiteen"
"SKOGKOM","1.0","Skog-, vassdrags- og industrikomiteen"
"SKOGVASS","1.0","Skog- og vassdragskomiteen"
"SOSIAL","1.0","Sosialkomiteen"
"SÆRKOM","1.0","Den særskilte komité til å behandle redegjørelse fra justisministeren og forsvarsministeren i Stortingets møte 10. november 2011 om angrepene 22. juli"
"TRANSKOM","1.0","Transport- og kommunikasjonskomiteen"
"UFK","1.0","Utenriks- og forsvarskomiteen"
"UNIVFAGS","1.0","Universitets- og fagskolekomiteen"
"UTENKONS","1.0","Utenriks- og konstitusjonskomiteen"
"UTENRIKS","1.0","Utenrikskomiteen"
"UUFK","1.0","Den utvidede utenriks- og forsvarskomité"
"VALG","1.0","Valgkomiteen"
"VEIJERNB","1.0","Vei- og jernbanekomiteen"
