"id","versjon","fornavn","etternavn","foedselsdato","doedsdato","kjoenn","fylke_id","parti_id","top_words_in_questions","top_tfidf_words_in_questions"
"AAKU","1.0","Aasmund","Kulien","1893-05-04 00:00:00","1988-10-18 00:00:00","mann","VA","A",NULL,NULL
"AALI","1.0","Aase","Lionæs","1907-04-10 00:00:00","1999-01-02 00:00:00","kvinne","Os","A",NULL,NULL
"AAMH","1.0","Åslaug","Haga","1959-10-21 00:00:00","0001-01-01 00:00:00","kvinne","Ak","Sp",NULL,NULL
"AAMO","1.0","Aase","Moløkken","1930-04-27 00:00:00","0001-01-01 00:00:00","kvinne","Bu","A",NULL,NULL
"AARY","1.0","Aani Aanisson","Rysstad","1894-07-13 00:00:00","1965-12-18 00:00:00","mann","AA","A",NULL,NULL
"AAS","1.0","Anita Apelthun","Sæle","1951-12-13 00:00:00","0001-01-01 00:00:00","kvinne","Ho","KrF",NULL,NULL
"AAST","1.0","Arild","Stokkan-Grande","1978-04-05 00:00:00","0001-01-01 00:00:00","mann","NT","A",NULL,NULL
"ABA","1.0","Anne Berit","Andersen","1951-12-02 00:00:00","0001-01-01 00:00:00","kvinne","VA","H",NULL,NULL
"ABIR",NULL,"Abid Q.","Raja","1975-11-05 00:00:00","0001-01-01 00:00:00","mann","Ak","V",NULL,NULL
"ABRA",NULL,"Arne","Braut","1950-10-11 00:00:00","0001-01-01 00:00:00","mann","ST","Sp",NULL,NULL
"ABS","1.0","Anne Brit","Stråtveit","1947-04-22 00:00:00","0001-01-01 00:00:00","kvinne","VA","KrF",NULL,NULL
"AC",NULL,"Akhtar","Chaudhry","1961-07-23 00:00:00","0001-01-01 00:00:00","mann","Os","SV",NULL,NULL
"ACS","1.0","Anders C.","Sjaastad","1942-02-21 00:00:00","0001-01-01 00:00:00","mann","Os","H",NULL,NULL
"AD","1.0","Anneliese","Dørum","1939-10-03 00:00:00","2000-11-04 00:00:00","kvinne","Ak","A",NULL,NULL
"ADA","1.0","André Oktay","Dahl","1975-07-07 00:00:00","0001-01-01 00:00:00","mann","Ak","H","<span class=\"size-1\" name=\"54\">sikre</span><span class=\"size-5\" name=\"32\">sørge</span><span class=\"size-5\" name=\"31\">initiativ</span><span class=\"size-5\" name=\"28\">ta</span><span class=\"size-10\" name=\"27\">Stortinget</span><span class=\"size-6\" name=\"26\">knyttet</span><span class=\"size-6\" name=\"26\">redegjøre</span><span class=\"size-6\" name=\"25\">tiltak</span><span class=\"size-6\" name=\"22\">samt</span><span class=\"size-6\" name=\"22\">bedre</span><span class=\"size-7\" name=\"21\">gi</span><span class=\"size-7\" name=\"21\">vurderer</span><span class=\"size-7\" name=\"20\">forhold</span><span class=\"size-7\" name=\"20\">gjøre</span><span class=\"size-7\" name=\"18\">få</span><span class=\"size-7\" name=\"17\">mer</span><span class=\"size-7\" name=\"17\">Oslo</span><span class=\"size-7\" name=\"17\">politidistrikt</span><span class=\"size-8\" name=\"16\">andre</span><span class=\"size-8\" name=\"16\">politiet</span><span class=\"size-8\" name=\"16\">Regjeringen</span><span class=\"size-8\" name=\"16\">norske</span><span class=\"size-8\" name=\"15\">får</span><span class=\"size-8\" name=\"14\">klargjøre</span><span class=\"size-8\" name=\"14\">regjeringen</span><span class=\"size-8\" name=\"14\">måte</span><span class=\"size-8\" name=\"13\">ansatte</span><span class=\"size-8\" name=\"13\">vurdere</span><span class=\"size-8\" name=\"13\">hvorvidt</span><span class=\"size-8\" name=\"13\">Norge</span>","<span class=\"size-1\" name=\"0.0351909586445\">sikre</span><span class=\"size-4\" name=\"0.0233299813348\">sørge</span><span class=\"size-4\" name=\"0.022040294346\">initiativ</span><span class=\"size-4\" name=\"0.0217753114802\">redegjøre</span><span class=\"size-4\" name=\"0.0214955133351\">knyttet</span><span class=\"size-5\" name=\"0.0181860356553\">Stortinget</span><span class=\"size-5\" name=\"0.018133584995\">vurderer</span><span class=\"size-6\" name=\"0.0169219393019\">samt</span><span class=\"size-6\" name=\"0.0168856524401\">tiltak</span><span class=\"size-6\" name=\"0.0163684364644\">bedre</span><span class=\"size-6\" name=\"0.0160070108812\">politidistrikt</span><span class=\"size-6\" name=\"0.0147753176532\">klargjøre</span><span class=\"size-7\" name=\"0.0139760768386\">forhold</span><span class=\"size-7\" name=\"0.0137198841564\">Hvorledes</span><span class=\"size-7\" name=\"0.01308642071\">politiet</span><span class=\"size-7\" name=\"0.0124421808589\">Oslo</span><span class=\"size-7\" name=\"0.0122867428902\">tilbakemelding</span><span class=\"size-7\" name=\"0.0120260724666\">kriminelle</span><span class=\"size-7\" name=\"0.0120225860618\">gjøre</span><span class=\"size-7\" name=\"0.0113658098729\">sikte</span><span class=\"size-7\" name=\"0.0112438855423\">andre</span><span class=\"size-7\" name=\"0.0109513222524\">norske</span><span class=\"size-7\" name=\"0.0109188268086\">POD</span><span class=\"size-7\" name=\"0.0108259917394\">ansatte</span><span class=\"size-7\" name=\"0.0107612941142\">måte</span><span class=\"size-7\" name=\"0.0106237999076\">regjeringen</span><span class=\"size-7\" name=\"0.0105900478178\">Regjeringen</span><span class=\"size-8\" name=\"0.0105328794465\">grad</span><span class=\"size-8\" name=\"0.0103927484541\">hvorledes</span>"
"ADV","1.0","Åse Gunhild Woie","Duesund","1944-04-18 00:00:00","0001-01-01 00:00:00","kvinne","AA","KrF",NULL,NULL
"AEL","1.0","Anne","Enger","1949-12-09 00:00:00","0001-01-01 00:00:00","kvinne","Ak","Sp",NULL,NULL
"AENG",NULL,"Ann-Kristin","Engstad","1982-04-05 00:00:00","0001-01-01 00:00:00","kvinne","Fi","A",NULL,NULL
