id,"person","stortingsperiode_id","fast_vara_for_id","vara_for_id",dagens_representant
21676,"ALKJ","1945-49",NULL,NULL,0
21677,"ALVÅ","1945-49",NULL,NULL,0
21678,"AMSK","1945-49",NULL,NULL,0
21679,"ANBØ","1945-49",NULL,NULL,0
21680,"ANDJ","1945-49",NULL,NULL,0
21681,"ANHV","1945-49",NULL,NULL,0
21682,"ANND","1945-49",NULL,NULL,0
21683,"ANRY","1945-49",NULL,NULL,0
21684,"ARAR","1945-49",NULL,NULL,0
21685,"ARJN","1945-49",NULL,NULL,0
21686,"ARRS","1945-49",NULL,NULL,0
21687,"ARSD","1945-49",NULL,NULL,0
21688,"ARSØ","1945-49",NULL,NULL,0
21689,"ASSK","1945-49",NULL,NULL,0
21690,"ASSO","1945-49",NULL,NULL,0
21691,"BEBR","1945-49",NULL,NULL,0
21692,"BEIN","1945-49",NULL,NULL,0
21693,"BERØ","1945-49",NULL,NULL,0
21694,"CAHE","1945-49",NULL,NULL,0
21695,"CAHM","1945-49",NULL,NULL,0
21696,"CASV","1945-49",NULL,NULL,0
21697,"CAWE","1945-49",NULL,NULL,0
21698,"CAWR","1945-49",NULL,NULL,0
21699,"CHOF","1945-49",NULL,NULL,0
21700,"CLOL","1945-49",NULL,NULL,0
21701,"EIER","1945-49",NULL,NULL,0
21702,"EIFR","1945-49",NULL,NULL,0
21703,"EIGE","1945-49",NULL,NULL,0
21704,"EIHR","1945-49",NULL,NULL,0
21705,"EIST","1945-49",NULL,NULL,0
21706,"ELVA","1945-49",NULL,NULL,0
21707,"EMLØ","1945-49",NULL,NULL,0
21708,"ERFR","1945-49",NULL,NULL,0
21709,"ERWI","1945-49",NULL,NULL,0
21710,"FRBE","1945-49",NULL,NULL,0
21711,"FRMO","1945-49",NULL,NULL,0
21712,"GAMO","1945-49",NULL,NULL,0
21713,"GUEN","1945-49",NULL,NULL,0
21714,"GUNA","1945-49",NULL,NULL,0
21715,"GUTA","1945-49",NULL,NULL,0
21716,"HAEI","1945-49",NULL,NULL,0
21717,"HAHL","1945-49",NULL,NULL,0
21718,"HALØ","1945-49",NULL,NULL,0
21719,"HART","1945-49",NULL,NULL,0
21720,"HASD","1945-49",NULL,NULL,0
21721,"HASE","1945-49",NULL,NULL,0
21722,"HAWI","1945-49",NULL,NULL,0
21723,"HEJA","1945-49",NULL,NULL,0
21724,"HERO","1945-49",NULL,NULL,0
21725,"HESM","1945-49",NULL,NULL,0
21726,"HRSV","1945-49",NULL,NULL,0
21727,"HÅBR","1945-49",NULL,NULL,0
21728,"HÅHA","1945-49",NULL,NULL,0
21729,"HÅJO","1945-49",NULL,NULL,0
21730,"INHU","1945-49",NULL,NULL,0
21731,"INSI","1945-49",NULL,NULL,0
21732,"INTØ","1945-49",NULL,NULL,0
21733,"ISFL","1945-49",NULL,NULL,0
21734,"IVBA","1945-49",NULL,NULL,0
21735,"IVHO","1945-49",NULL,NULL,0
21736,"IVNO","1945-49",NULL,NULL,0
21737,"JAFS","1945-49",NULL,NULL,0
21738,"JALO","1945-49",NULL,NULL,0
21739,"JAPE","1945-49",NULL,NULL,0
21740,"JARE","1945-49",NULL,NULL,0
21741,"JEJN","1945-49",NULL,NULL,0
21742,"JELN","1945-49",NULL,NULL,0
21743,"JEST","1945-49",NULL,NULL,0
21744,"JHWI","1945-49",NULL,NULL,0
21745,"JOAN","1945-49",NULL,NULL,0
21746,"JOAR","1945-49",NULL,NULL,0
21747,"JODA","1945-49",NULL,NULL,0
21748,"JOLE","1945-49",NULL,NULL,0
21749,"JOLY","1945-49",NULL,NULL,0
21750,"JONY","1945-49",NULL,NULL,0
21751,"JOOL","1945-49",NULL,NULL,0
21752,"JOPE","1945-49",NULL,NULL,0
21753,"JSJ","1945-49",NULL,NULL,0
21754,"JØFI","1945-49",NULL,NULL,0
21755,"JØVO","1945-49",NULL,NULL,0
21756,"KAFJ","1945-49",NULL,NULL,0
21757,"KAFO","1945-49",NULL,NULL,0
21758,"KAHM","1945-49",NULL,NULL,0
21759,"KIBE","1945-49",NULL,NULL,0
21760,"KIHA","1945-49",NULL,NULL,0
21761,"KJTE","1945-49",NULL,NULL,0
21762,"KLSK","1945-49",NULL,NULL,0
21763,"KOKN","1945-49",NULL,NULL,0
21764,"KRFJ","1945-49",NULL,NULL,0
21765,"KRMO","1945-49",NULL,NULL,0
21766,"LABR","1945-49",NULL,NULL,0
21767,"LAGR","1945-49",NULL,NULL,0
21768,"LAMO","1945-49",NULL,NULL,0
21769,"LARA","1945-49",NULL,NULL,0
21770,"LARO","1945-49",NULL,NULL,0
21771,"LEBU","1945-49",NULL,NULL,0
21772,"LEGR","1945-49",NULL,NULL,0
21773,"LEGØ","1945-49",NULL,NULL,0
21774,"MAJH","1945-49",NULL,NULL,0
21775,"MASC","1945-49",NULL,NULL,0
21776,"MASM","1945-49",NULL,NULL,0
21777,"MOLI","1945-49",NULL,NULL,0
21778,"NIHØ","1945-49",NULL,NULL,0
21779,"NIJA","1945-49",NULL,NULL,0
21780,"NILV","1945-49",NULL,NULL,0
21781,"NITR","1945-49",NULL,NULL,0
21782,"NITV","1945-49",NULL,NULL,0
21783,"OLBE","1945-49",NULL,NULL,0
21784,"OLLG","1945-49",NULL,NULL,0
21785,"OLME","1945-49",NULL,NULL,0
21786,"OLNL","1945-49",NULL,NULL,0
21787,"OLOK","1945-49",NULL,NULL,0
21788,"OLRN","1945-49",NULL,NULL,0
21789,"OLSV","1945-49",NULL,NULL,0
21790,"OLSØ","1945-49",NULL,NULL,0
21791,"OLVE","1945-49",NULL,NULL,0
21792,"OLWA","1945-49",NULL,NULL,0
21793,"OSOL","1945-49",NULL,NULL,0
21794,"OSTO","1945-49",NULL,NULL,0
21795,"PABE","1945-49",NULL,NULL,0
21796,"PADA","1945-49",NULL,NULL,0
21797,"PASU","1945-49",NULL,NULL,0
21798,"PEAV","1945-49",NULL,NULL,0
21799,"RADL","1945-49",NULL,NULL,0
21800,"RASW","1945-49",NULL,NULL,0
21801,"RECA","1945-49",NULL,NULL,0
21802,"ROST","1945-49",NULL,NULL,0
21803,"SILE","1945-49",NULL,NULL,0
21804,"SJLI","1945-49",NULL,NULL,0
21805,"SVHO","1945-49",NULL,NULL,0
21806,"SVLØ","1945-49",NULL,NULL,0
21807,"SVNI","1945-49",NULL,NULL,0
21808,"SVOF","1945-49",NULL,NULL,0
21809,"SVRE","1945-49",NULL,NULL,0
21810,"SVSØ","1945-49",NULL,NULL,0
21811,"SVØR","1945-49",NULL,NULL,0
21812,"SØMO","1945-49",NULL,NULL,0
21813,"SØSØ","1945-49",NULL,NULL,0
21814,"TEWO","1945-49",NULL,NULL,0
21815,"THBR","1945-49",NULL,NULL,0
21816,"TIEV","1945-49",NULL,NULL,0
21817,"TOMA","1945-49",NULL,NULL,0
21818,"TOVI","1945-49",NULL,NULL,0
21819,"TRLI","1945-49",NULL,NULL,0
21820,"TRUT","1945-49",NULL,NULL,0
21821,"ULOL","1945-49",NULL,NULL,0
21822,"WIBR","1945-49",NULL,NULL,0
21823,"WIIN","1945-49",NULL,NULL,0
21824,"AAKU","1945-49",NULL,NULL,0
21825,"AARY","1945-49",NULL,NULL,0
21826,"ALKJ","1950-53",NULL,NULL,0
21827,"ALNI","1950-53",NULL,NULL,0
21828,"AMSK","1950-53",NULL,NULL,0
21829,"ANAL","1950-53",NULL,NULL,0
21830,"ANBE","1950-53",NULL,NULL,0
21831,"ANBØ","1950-53",NULL,NULL,0
21832,"ANHV","1950-53",NULL,NULL,0
21833,"ANRY","1950-53",NULL,NULL,0
21834,"ARAR","1950-53",NULL,NULL,0
21835,"ARJH","1950-53",NULL,NULL,0
21836,"ARSØ","1950-53",NULL,NULL,0
21837,"ASSK","1950-53",NULL,NULL,0
21838,"ASSO","1950-53",NULL,NULL,0
21839,"BEBR","1950-53",NULL,NULL,0
21840,"BEIN","1950-53",NULL,NULL,0
21841,"BERØ","1950-53",NULL,NULL,0
21842,"BJSØ","1950-53",NULL,NULL,0
21843,"CAHM","1950-53",NULL,NULL,0
21844,"CALA","1950-53",NULL,NULL,0
21845,"CAWR","1950-53",NULL,NULL,0
21846,"CLOL","1950-53",NULL,NULL,0
21847,"COKA","1950-53",NULL,NULL,0
21848,"EIFR","1950-53",NULL,NULL,0
21849,"EIGE","1950-53",NULL,NULL,0
21850,"EIHR","1950-53",NULL,NULL,0
21851,"EIIV","1950-53",NULL,NULL,0
21852,"EIOS","1950-53",NULL,NULL,0
21853,"EIST","1950-53",NULL,NULL,0
21854,"ELVA","1950-53",NULL,NULL,0
21855,"ERFR","1950-53",NULL,NULL,0
21856,"ERNO","1950-53",NULL,NULL,0
21857,"ERVI","1950-53",NULL,NULL,0
21858,"FIMO","1950-53",NULL,NULL,0
21859,"FIØE","1950-53",NULL,NULL,0
21860,"GAMO","1950-53",NULL,NULL,0
21861,"GUEN","1950-53",NULL,NULL,0
21862,"GUGR","1950-53",NULL,NULL,0
21863,"GUKA","1950-53",NULL,NULL,0
21864,"GUNA","1950-53",NULL,NULL,0
21865,"HABK","1950-53",NULL,NULL,0
21866,"HABO","1950-53",NULL,NULL,0
21867,"HABU","1950-53",NULL,NULL,0
21868,"HACH","1950-53",NULL,NULL,0
21869,"HAEV","1950-53",NULL,NULL,0
21870,"HAHL","1950-53",NULL,NULL,0
21871,"HAKL","1950-53",NULL,NULL,0
21872,"HALN","1950-53",NULL,NULL,0
21873,"HALØ","1950-53",NULL,NULL,0
21874,"HASD","1950-53",NULL,NULL,0
21875,"HASE","1950-53",NULL,NULL,0
21876,"HASR","1950-53",NULL,NULL,0
21877,"HEJA","1950-53",NULL,NULL,0
21878,"HESM","1950-53",NULL,NULL,0
21879,"HRSV","1950-53",NULL,NULL,0
21880,"HÅBR","1950-53",NULL,NULL,0
21881,"HÅJO","1950-53",NULL,NULL,0
21882,"INJA","1950-53",NULL,NULL,0
21883,"INTØ","1950-53",NULL,NULL,0
21884,"ISFL","1950-53",NULL,NULL,0
21885,"IVHO","1950-53",NULL,NULL,0
21886,"IVNO","1950-53",NULL,NULL,0
21887,"JAFS","1950-53",NULL,NULL,0
21888,"JALO","1950-53",NULL,NULL,0
21889,"JAPE","1950-53",NULL,NULL,0
21890,"JARE","1950-53",NULL,NULL,0
21891,"JELN","1950-53",NULL,NULL,0
21892,"JEST","1950-53",NULL,NULL,0
21893,"JHWI","1950-53",NULL,NULL,0
21894,"JOAN","1950-53",NULL,NULL,0
21895,"JODA","1950-53",NULL,NULL,0
21896,"JOEN","1950-53",NULL,NULL,0
21897,"JOLE","1950-53",NULL,NULL,0
21898,"JOLK","1950-53",NULL,NULL,0
21899,"JOLY","1950-53",NULL,NULL,0
21900,"JOOL","1950-53",NULL,NULL,0
21901,"JOPE","1950-53",NULL,NULL,0
21902,"KAED","1950-53",NULL,NULL,0
21903,"KJBN","1950-53",NULL,NULL,0
21904,"KLSK","1950-53",NULL,NULL,0
21905,"KNST","1950-53",NULL,NULL,0
21906,"KNTO","1950-53",NULL,NULL,0
21907,"KNYT","1950-53",NULL,NULL,0
21908,"KOKN","1950-53",NULL,NULL,0
21909,"KOVA","1950-53",NULL,NULL,0
21910,"KRFJ","1950-53",NULL,NULL,0
21911,"KRGR","1950-53",NULL,NULL,0
21912,"KRLA","1950-53",NULL,NULL,0
21913,"LABR","1950-53",NULL,NULL,0
21914,"LAGJ","1950-53",NULL,NULL,0
21915,"LAMO","1950-53",NULL,NULL,0
21916,"LARA","1950-53",NULL,NULL,0
21917,"LEGR","1950-53",NULL,NULL,0
21918,"LITM","1950-53",NULL,NULL,0
21919,"LOHO","1950-53",NULL,NULL,0
21920,"MAHA","1950-53",NULL,NULL,0
21921,"MASM","1950-53",NULL,NULL,0
21922,"MOLØ","1950-53",NULL,NULL,0
21923,"NEVA","1950-53",NULL,NULL,0
21924,"NIHØ","1950-53",NULL,NULL,0
21925,"NIJA","1950-53",NULL,NULL,0
21926,"NILA","1950-53",NULL,NULL,0
21927,"NILV","1950-53",NULL,NULL,0
21928,"NINI","1950-53",NULL,NULL,0
21929,"NINL","1950-53",NULL,NULL,0
21930,"OLBE","1950-53",NULL,NULL,0
21931,"OLKO","1950-53",NULL,NULL,0
21932,"OLME","1950-53",NULL,NULL,0
21933,"OLNL","1950-53",NULL,NULL,0
21934,"OLOK","1950-53",NULL,NULL,0
21935,"OLRN","1950-53",NULL,NULL,0
21936,"OLSØ","1950-53",NULL,NULL,0
21937,"OLVE","1950-53",NULL,NULL,0
21938,"OLWA","1950-53",NULL,NULL,0
21939,"OSTO","1950-53",NULL,NULL,0
21940,"PABE","1950-53",NULL,NULL,0
21941,"PADA","1950-53",NULL,NULL,0
21942,"PAIN","1950-53",NULL,NULL,0
