id,saker_id,emne_id
86863,1734,29
86864,1734,49
86865,1734,52
86866,1734,61
86867,1734,151
86868,1734,184
86838,1735,2
86839,1735,29
86840,1735,151
86841,1735,189
86847,1736,29
86848,1736,151
86849,1736,163
86850,1736,168
86851,1736,174
86879,1737,11
86880,1737,13
86881,1737,29
86882,1737,98
86883,1737,113
86884,1737,151
86875,1786,30
86876,1786,51
86877,1786,151
86878,1786,155
86852,1789,49
86853,1789,61
86844,1790,39
86845,1790,114
86846,1790,184
86887,1791,163
86888,1791,168
86871,1792,59
86872,1792,60
86873,1792,99
86874,1792,113
86842,1793,21
86843,1793,139
86869,1794,163
86870,1794,177
86889,1795,8
86854,1796,113
86855,1797,6
86856,1797,70
86857,1797,122
86858,1797,126
86890,1798,25
86891,1798,151
86859,1800,44
86860,1800,155
86885,1801,28
86886,1801,151
86892,1802,2
86893,1802,107
86894,1802,109
86895,1803,10
86896,1803,18
86897,1803,49
86898,1803,61
86899,1803,63
86900,1803,64
86901,1803,134
86902,1803,184
86903,1803,211
88755,1804,25
88756,1804,151
88910,1805,163
88911,1805,180
88912,1806,26
88913,1806,30
88914,1806,151
88915,1806,154
86904,1811,5
86905,1811,95
88897,1814,25
88898,1814,151
88780,1817,185
88781,1817,187
88906,1818,59
88907,1818,60
88908,1818,163
88909,1818,180
87774,1820,10
87775,1820,40
87776,1820,186
88054,1821,61
88055,1821,63
87929,1822,40
87930,1822,41
87931,1822,43
88051,1823,45
88052,1823,61
88053,1823,65
87662,1824,97
87663,1824,98
87664,1824,113
88835,1825,57
88836,1825,58
88837,1825,185
88838,1825,187
88063,1826,10
88064,1826,61
88065,1826,186
88155,1827,8
88156,1827,10
88157,1827,186
88112,1828,59
88113,1829,11
88114,1829,17
88115,1829,59
88116,1829,155
88117,1829,184
88336,1830,11
88337,1830,12
88338,1830,141
88339,1831,1
88340,1831,6
88341,1831,11
88342,1831,14
88343,1831,105
88344,1831,121
87798,1832,11
87799,1832,141
88345,1833,11
88056,1834,5
88057,1834,18
88058,1834,94
88059,1834,95
88060,1834,105
88061,1834,184
88062,1834,205
88645,1835,6
88646,1835,163
88647,1835,173
87897,1836,6
87898,1836,70
87899,1836,122
87777,1837,6
87778,1837,68
87932,1838,6
87933,1838,70
87934,1838,126
87935,1839,151
87936,1839,154
88816,1840,2
88817,1840,52
88818,1840,184
88819,1840,189
88643,1841,113
88644,1841,114
88118,1842,25
88119,1842,44
88120,1842,151
88121,1842,155
87995,1843,11
87996,1843,17
88902,1849,87
88903,1849,151
88904,1849,187
88905,1849,203
88895,1857,25
88896,1857,151
88540,1862,32
88541,1862,36
88542,1863,31
88543,1863,32
88544,1863,39
88545,1863,184
88839,1864,11
88840,1864,32
88841,1864,61
88842,1864,63
88843,1864,141
88844,1864,185
88845,1864,187
88179,1865,31
88180,1865,32
88181,1865,158
87712,1866,4
87713,1866,45
88899,1877,26
88900,1877,151
88901,1877,203
88150,1879,5
88151,1879,61
88152,1879,64
88153,1879,94
88154,1879,205
88891,1885,151
88892,1885,185
88893,1885,187
88894,1885,203
88122,1886,29
88123,1886,51
88124,1886,151
88125,1886,155
88126,1886,185
88127,1886,187
88182,1887,29
88183,1887,53
88184,1887,151
88185,1887,163
88186,1887,171
88187,1887,187
88887,1890,26
88888,1890,151
88889,1890,163
88890,1890,171
88878,1898,5
88879,1898,25
88880,1898,26
88881,1898,95
88882,1898,151
88883,1899,5
88884,1899,11
88885,1899,12
88886,1899,95
88782,1930,185
88783,1930,187
87987,1933,10
87988,1933,32
87989,1933,186
87900,1934,6
87901,1934,68
87902,1934,83
87903,1934,187
87927,1935,20
87928,1935,113
87859,1936,61
87860,1936,63
86906,1939,163
86907,1939,171
88856,1941,26
88857,1941,151
88858,1941,163
88859,1941,170
88860,1942,26
88861,1942,151
88862,1942,163
88863,1942,177
88864,1943,26
88865,1943,151
88866,1943,163
88867,1944,151
88868,1944,163
88869,1944,173
88870,1944,203
88871,1945,26
88872,1945,151
88873,1945,163
88874,1946,26
88875,1946,151
88876,1946,163
88877,1946,173
88333,1948,46
88334,1948,163
88335,1948,173
88328,1949,21
88329,1949,113
88330,1949,139
88331,1949,163
88332,1949,173
88606,1950,113
88607,1950,163
88608,1950,173
88609,1951,8
88916,1954,26
88917,1954,151
88918,1954,163
88919,1954,173
88920,1954,203
88128,1967,29
88129,1967,51
88130,1967,151
88131,1967,155
88132,1967,185
88133,1967,187
88134,1968,10
88135,1968,29
88136,1968,53
88137,1968,151
88138,1968,186
88139,1968,187
88467,1984,5
88468,1984,6
88469,1984,10
88470,1984,22
88471,1984,24
88472,1984,25
88473,1984,37
88474,1984,40
88475,1984,41
88476,1984,42
88477,1984,43
88478,1984,44
88479,1984,51
88480,1984,61
88481,1984,65
88482,1984,67
88483,1984,68
88484,1984,80
88485,1984,83
88486,1984,94
88487,1984,98
88488,1984,113
88489,1984,121
88490,1984,122
88491,1984,125
88492,1984,126
88493,1984,127
88494,1984,142
88495,1984,143
88496,1984,145
88497,1984,148
88498,1984,151
88499,1984,154
88500,1984,155
88501,1984,157
88502,1984,163
88503,1984,182
88504,1984,184
88505,1984,185
88506,1984,186
88507,1984,187
88749,1985,29
88750,1985,151
88751,1985,153
88752,1985,185
88753,1985,187
88754,1985,203
88546,1986,18
88547,1986,22
88548,1986,25
88549,1986,51
88550,1986,99
88551,1986,112
88552,1986,113
88553,1986,139
88554,1986,151
88555,1986,155
88556,1986,163
88557,1986,167
88558,1986,168
88559,1986,171
88560,1986,173
88561,1986,174
88562,1986,175
88563,1986,176
88564,1986,180
88565,1986,184
88566,1986,185
88567,1986,187
88508,1987,1
88509,1987,6
88510,1987,8
88511,1987,18
88512,1987,22
88513,1987,31
88514,1987,32
88515,1987,33
88516,1987,34
88517,1987,35
88518,1987,36
88519,1987,39
88520,1987,45
88521,1987,46
88522,1987,51
88523,1987,67
88524,1987,68
88525,1987,86
88526,1987,92
88527,1987,105
88528,1987,127
88529,1987,133
88530,1987,155
88531,1987,158
88532,1987,159
88533,1987,160
88534,1987,163
88535,1987,183
88536,1987,184
88537,1987,185
88538,1987,187
88539,1987,212
88693,1988,11
88694,1988,12
88695,1988,15
88696,1988,16
88697,1988,17
88698,1988,19
88699,1988,22
88700,1988,49
88701,1988,51
88702,1988,141
88703,1988,155
88704,1988,163
88705,1988,165
88706,1988,181
88707,1988,185
88708,1988,187
88709,1988,198
88735,1989,11
88736,1989,15
88737,1989,51
88738,1989,59
88739,1989,60
88740,1989,143
88741,1989,155
88742,1989,163
88743,1989,169
88744,1989,177
88745,1989,181
88746,1989,185
88747,1989,187
88748,1989,193
88648,1990,5
88649,1990,7
88650,1990,10
88651,1990,18
88652,1990,30
88653,1990,38
88654,1990,39
88655,1990,48
88656,1990,49
88657,1990,51
88658,1990,61
88659,1990,94
88660,1990,95
88661,1990,114
88662,1990,135
88663,1990,138
88664,1990,151
88665,1990,155
88666,1990,157
88667,1990,184
88668,1990,185
88669,1990,186
88670,1990,187
88671,1990,205
88672,1990,220
88443,1991,10
88444,1991,37
88445,1991,40
88446,1991,48
88447,1991,49
88448,1991,51
88449,1991,52
88450,1991,61
88451,1991,62
88452,1991,63
88453,1991,64
88454,1991,65
88455,1991,66
88456,1991,134
88457,1991,135
88458,1991,155
88459,1991,163
88460,1991,176
88461,1991,184
88462,1991,185
88463,1991,186
88464,1991,187
88465,1991,188
88466,1991,211
88610,1992,6
88611,1992,8
88612,1992,9
88613,1992,20
88614,1992,22
88615,1992,45
88616,1992,46
88617,1992,51
88618,1992,69
88619,1992,86
88620,1992,92
88621,1992,99
88622,1992,112
88623,1992,113
88624,1992,114
88625,1992,115
88626,1992,119
88627,1992,128
88628,1992,131
88629,1992,132
88630,1992,133
88631,1992,139
88632,1992,142
88633,1992,143
88634,1992,145
88635,1992,146
88636,1992,155
88637,1992,163
88638,1992,185
88639,1992,187
88640,1992,191
88641,1992,195
88642,1992,196
88677,1993,2
88678,1993,3
88679,1993,49
88680,1993,51
88681,1993,106
88682,1993,107
88683,1993,109
88684,1993,111
88685,1993,143
88686,1993,146
88687,1993,147
88688,1993,155
88689,1993,179
88690,1993,185
88691,1993,187
88692,1993,189
88395,1994,4
88396,1994,6
88397,1994,21
88398,1994,22
88399,1994,23
88400,1994,45
88401,1994,51
88402,1994,71
88403,1994,73
88404,1994,74
88405,1994,75
88406,1994,86
88407,1994,121
88408,1994,139
88409,1994,140
88410,1994,155
88411,1994,163
88412,1994,175
88413,1994,185
88414,1994,187
88415,1994,190
88416,1995,4
88417,1995,6
88418,1995,21
88419,1995,22
88420,1995,45
88421,1995,50
88422,1995,51
88423,1995,53
88424,1995,74
88425,1995,81
88426,1995,82
88427,1995,86
88428,1995,87
88429,1995,88
88430,1995,89
88431,1995,99
88432,1995,113
88433,1995,119
88434,1995,138
88435,1995,139
88436,1995,142
88437,1995,155
88438,1995,163
88439,1995,173
88440,1995,184
88441,1995,185
88442,1995,187
88784,1996,2
88785,1996,3
88786,1996,4
88787,1996,10
88788,1996,11
88789,1996,46
88790,1996,58
88791,1996,61
88792,1996,69
88793,1996,71
88794,1996,74
88795,1996,80
88796,1996,81
88797,1996,82
88798,1996,86
88799,1996,87
88800,1996,89
88801,1996,109
88802,1996,113
88803,1996,114
88804,1996,119
88805,1996,134
88806,1996,135
88807,1996,178
88808,1996,179
88809,1996,184
88810,1996,185
88811,1996,186
88812,1996,187
88813,1996,191
88814,1996,196
88815,1996,211
88852,1999,151
88853,1999,185
88854,1999,187
88855,1999,203
88769,2002,10
88770,2002,185
88771,2002,186
88772,2002,187
88773,2003,185
88774,2003,187
88568,2005,163
88569,2005,176
88570,2005,185
88571,2005,187
88066,2006,5
88067,2006,7
88068,2006,94
88069,2006,113
88070,2006,205
88071,2008,5
88072,2008,7
88073,2009,5
88074,2009,7
87981,2010,8
87982,2010,11
87983,2010,15
87984,2010,143
87985,2010,145
87986,2010,146
88572,2013,163
88573,2013,166
88574,2013,174
88575,2017,163
88576,2017,168
87418,2022,4
87419,2022,71
87420,2022,113
88213,2023,6
88214,2023,142
87997,2024,11
87998,2024,12
87999,2024,14
88000,2024,16
88596,2025,8
88597,2025,9
88598,2025,185
88599,2025,187
88049,2026,2
88050,2026,3
87890,2027,6
87891,2027,70
88215,2028,6
88216,2028,113
88217,2028,124
88218,2028,163
88219,2028,173
88826,2029,10
88827,2029,58
88828,2029,185
88829,2029,186
88830,2029,187
88775,2032,10
88776,2032,33
88777,2032,185
88778,2032,186
88779,2032,187
88820,2033,6
88821,2033,61
88822,2033,66
88823,2033,126
