"id","versjon","fra","til",er_innevaerende
"1986-87","1.0","1986-10-01 00:00:00","1987-09-30 23:59:59",NULL
"1987-88","1.0","1987-10-01 00:00:00","1988-09-30 23:59:59",NULL
"1988-89","1.0","1988-10-01 00:00:00","1989-09-30 23:59:59",NULL
"1989-90","1.0","1989-10-01 00:00:00","1990-09-30 23:59:59",NULL
"1990-91","1.0","1990-10-01 00:00:00","1991-09-30 23:59:59",NULL
"1991-92","1.0","1991-10-01 00:00:00","1992-09-30 23:59:59",NULL
"1992-93","1.0","1992-10-01 00:00:00","1993-09-30 23:59:59",NULL
"1993-94","1.0","1993-10-01 00:00:00","1994-09-30 23:59:59",NULL
"1994-95","1.0","1994-10-01 00:00:00","1995-09-30 23:59:59",NULL
"1995-96","1.0","1995-10-01 00:00:00","1996-09-30 23:59:59",NULL
"1996-97","1.0","1996-10-01 00:00:00","1997-09-30 23:59:59",NULL
"1997-98","1.0","1997-10-01 00:00:00","1998-09-30 23:59:59",NULL
"1998-99","1.0","1998-10-01 00:00:00","1999-09-30 23:59:59",NULL
"1999-2000","1.0","1999-10-01 00:00:00","2000-09-30 23:59:59",NULL
"2000-2001","1.0","2000-10-01 00:00:00","2001-09-30 23:59:59",NULL
"2001-2002","1.0","2001-10-01 00:00:00","2002-09-30 23:59:59",NULL
"2002-2003","1.0","2002-10-01 00:00:00","2003-09-30 23:59:59",NULL
"2003-2004","1.0","2003-10-01 00:00:00","2004-09-30 23:59:59",NULL
"2004-2005","1.0","2004-10-01 00:00:00","2005-09-30 23:59:59",NULL
"2005-2006","1.0","2005-10-01 00:00:00","2006-09-30 23:59:59",NULL
"2006-2007","1.0","2006-10-01 00:00:00","2007-09-30 23:59:59",NULL
"2007-2008","1.0","2007-10-01 00:00:00","2008-09-30 23:59:59",NULL
"2008-2009","1.0","2008-10-01 00:00:00","2009-09-30 23:59:59",NULL
"2009-2010","1.0","2009-10-01 00:00:00","2010-09-30 23:59:59",NULL
"2010-2011","1.0","2010-10-01 00:00:00","2011-09-30 23:59:59",NULL
"2011-2012","1.0","2011-10-01 00:00:00","2012-09-30 23:59:59",NULL
"2012-2013","1.0","2012-10-01 00:00:00","2013-09-30 23:59:59",1
