"id","versjon","fra","til",er_innevaerende
"1945-49","1.0","1945-12-04 00:00:00","1950-01-10 23:59:59",NULL
"1950-53","1.0","1950-01-11 00:00:00","1954-01-10 23:59:59",NULL
"1954-57","1.0","1954-01-11 00:00:00","1958-01-10 23:59:59",NULL
"1958-61","1.0","1958-01-11 00:00:00","1961-09-30 23:59:59",NULL
"1961-65","1.0","1961-10-01 00:00:00","1965-09-30 23:59:59",NULL
"1965-69","1.0","1965-10-01 00:00:00","1969-09-30 23:59:59",NULL
"1969-73","1.0","1969-10-01 00:00:00","1973-09-30 23:59:59",NULL
"1973-77","1.0","1973-10-01 00:00:00","1977-09-30 23:59:59",NULL
"1977-81","1.0","1977-10-01 00:00:00","1981-09-30 23:59:59",NULL
"1981-85","1.0","1981-10-01 00:00:00","1985-09-30 23:59:59",NULL
"1985-89","1.0","1985-10-01 00:00:00","1989-09-30 23:59:59",NULL
"1989-93","1.0","1989-10-01 00:00:00","1993-09-30 23:59:59",NULL
"1993-97","1.0","1993-10-01 00:00:00","1997-09-30 23:59:59",NULL
"1997-2001","1.0","1997-10-01 00:00:00","2001-09-30 23:59:59",NULL
"2001-2005","1.0","2001-10-01 00:00:00","2005-09-30 23:59:59",NULL
"2005-2009","1.0","2005-10-01 00:00:00","2009-09-30 23:59:59",NULL
"2009-2013","1.0","2009-10-01 00:00:00","2013-09-30 23:59:59",1
